code,patches,p,rounds,k,N,Fjoint,FX,FZ,Fboth,decodefail,lowconfidence,P_fail_shot,p_round,p_round_low_1sigma,p_round_high_1sigma,X_operational_p_round,Z_operational_p_round,zero_failures,experiment_id,source
w7,1,0.001,7,12,17657406,100,55,47,2,0,0,5.663346020361088e-06,8.090513951699876e-07,7.320904626561891e-07,8.941028086454965e-07,4.4497778132932255e-07,3.80253666573951e-07,False,3ae0b9ba99497e784275f71346f3587197165d00e9a3159f62bb7a0929e8b313,results/points/w7_p0.001_R7_3ae0b9ba9949/result.json
w7,1,0.0015,7,12,2303286,102,49,55,2,0,0,4.428455693300789e-05,6.326485348128503e-06,5.730316059635503e-06,6.984677025430959e-06,3.0391639695209288e-06,3.4113103049147083e-06,False,e1d38c0286127d91acd4c2be05aa646840d03e5c51d211cab469c69d4aab3073,results/points/w7_p0.0015_R7_e1d38c028612/result.json
w7,1,0.002,7,12,445437,102,45,62,5,0,0,0.00022898861118407317,3.271586954986524e-05,2.9632950169941114e-05,3.6119479873189184e-05,1.4432680218470583e-05,1.9885351359105043e-05,False,2bd52dc91245276adadf7db732d349b89469b17380230e8d183baa81783d7177,results/points/w7_p0.002_R7_2bd52dc91245/result.json
w7,1,0.0025,7,12,151326,107,49,64,6,0,0,0.0007070827220702324,0.00010104244100577714,9.173533822852372e-05,0.00011129338509168997,4.6264168797672505e-05,6.0429237302648106e-05,False,6c608635c852e7f1ee138cdc57e0b2a2983e1a06c344eaabd8a1c513254f5223,results/points/w7_p0.0025_R7_6c608635c852/result.json
w7,1,0.003,7,12,44844,109,58,59,8,0,0,0.002430648470252431,0.0003475977584372279,0.0003158635850838026,0.0003825153221730418,0.00018487001067712909,0.00018805922381666065,False,99ecd5ffde71859a4ed41d08347d28c47cf6bee71aa073cfa99c3dacc50b5fe0,results/points/w7_p0.003_R7_99ecd5ffde71/result.json
w7,1,0.0035,7,12,33345,182,108,96,22,0,0,0.005458089668615985,0.000781557205377658,0.0007257466385314663,0.0008416452091478028,0.00046333875080738625,0.0004117929932166324,False,a0856b6bc903978930503b15c931663caf111d48028d278ab4d942c24deb8293,results/points/w7_p0.0035_R7_a0856b6bc903/result.json
w7,1,0.004,7,12,15891,190,105,110,25,0,0,0.01195645333836763,0.0017168825590370275,0.0015968339690495322,0.0018458896926515185,0.0009466145267049625,0.0009918258815999953,False,3a0695c0c0651ca74e1a430d99d75585b092c24c5e542a8a61924c3384bb3e50,results/points/w7_p0.004_R7_3a0695c0c065/result.json
w7,1,0.005,7,12,3253,154,89,95,30,0,0,0.04734091607746695,0.006904364406112735,0.006371139800890131,0.007480884098154235,0.003955100418256497,0.004225153339854537,False,2f115b39042453e4ebc73092b7354de78c58136a05b006d2ea00e8c20aa5391b,results/points/w7_p0.005_R7_2f115b390424/result.json
w7,1,0.006,7,12,1000,103,62,74,33,0,0,0.103,0.015408542819110598,0.013969296832149905,0.01698605844648819,0.0091019428068781,0.01092291332149781,False,81450cf708f64ce2e12d11fcac68e7d3f4a7cf9d146cb172f07933fdbe70e34b,results/points/w7_p0.006_R7_81450cf708f6/result.json
bb72,1,0.001,6,12,27057308,100,47,54,1,0,0,3.6958591741647026e-06,6.159774775973035e-07,5.573826795410327e-07,6.807320332224903e-07,2.8950917818173143e-07,3.3262760227750506e-07,False,542d8f50dc1bed9ccbe2b5778fb32fdd3b9d6bb310e1c05b96c99062c52385cf,results/points/bb72_p0.001_R6_542d8f50dc1b/result.json
